DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T02:17:00-05:00,42,,,,38,46,60,,30,21,9,25,,25,34,38,38
2023-05-28T02:17:30-05:00,38,,,,38,46,60,,34,17,9,30,,21,30,38,34
2023-05-28T02:18:00-05:00,38,,,,42,46,55,,30,17,5,25,,21,17,38,42
2023-05-28T02:18:30-05:00,42,,,,38,50,58,,34,17,5,25,,21,21,38,46
2023-05-28T02:19:00-05:00,38,,,,38,,58,,34,17,9,30,,21,25,34,42
2023-05-28T02:19:30-05:00,42,,,,34,50,58,,34,17,5,30,,21,25,34,38
2023-05-28T02:20:00-05:00,34,,,,38,53,60,,38,17,5,25,,25,30,42,38
2023-05-28T02:20:30-05:00,38,,,,42,53,60,,38,21,5,30,,25,25,38,38
2023-05-28T02:21:00-05:00,42,,,,42,50,60,,34,21,5,30,,,17,34,38
2023-05-28T02:21:30-05:00,38,,,,38,46,60,,30,21,5,25,,25,25,34,38
2023-05-28T02:22:00-05:00,38,,,,38,50,58,,34,17,9,25,,30,21,38,34
2023-05-28T02:22:30-05:00,46,,,,34,46,58,,30,17,5,21,,25,30,34,38
2023-05-28T02:23:00-05:00,42,,,,38,46,60,,34,21,5,25,,30,34,38,34
2023-05-28T02:23:30-05:00,46,,,,38,42,60,,38,21,5,25,,25,25,38,34
2023-05-28T02:24:00-05:00,46,,,,38,46,60,,34,21,5,25,,,17,,34
2023-05-28T02:24:30-05:00,42,,,,38,42,60,,34,21,5,30,,21,25,42,38
2023-05-28T02:25:00-05:00,42,,,,38,42,62,,34,25,5,25,,25,34,42,34
2023-05-28T02:25:30-05:00,38,,,,42,42,60,,34,25,5,25,,25,34,42,34
2023-05-28T02:26:00-05:00,38,,,,42,42,60,,34,25,5,25,,25,38,46,34
2023-05-28T02:26:30-05:00,42,,,,42,42,62,,34,25,5,25,,30,30,42,38
2023-05-28T02:27:00-05:00,42,,,,42,42,62,,34,30,5,21,,21,21,42,38
