DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T01:28:00-05:00,17,21,17,17,,17,17,30,21,9,9,5,,,17,5,5,13,9
2023-05-25T01:28:30-05:00,17,25,21,17,,17,17,25,21,9,9,5,,,13,5,5,13,9
2023-05-25T01:29:00-05:00,17,17,17,17,,17,17,34,17,13,9,5,,,13,5,0,17,9
2023-05-25T01:29:30-05:00,17,21,13,21,,21,17,34,17,9,13,5,,,17,5,0,17,9
2023-05-25T01:30:00-05:00,17,25,17,17,,21,21,34,17,9,13,5,,,13,5,0,13,9
2023-05-25T01:30:30-05:00,17,17,21,21,,21,17,34,17,9,9,5,,,17,5,5,13,9
2023-05-25T01:31:00-05:00,17,13,21,17,,17,17,34,17,9,13,5,,,13,5,5,13,9
2023-05-25T01:31:30-05:00,17,13,21,17,,17,21,34,17,9,13,5,,,13,5,5,17,17
2023-05-25T01:32:00-05:00,17,21,21,17,,17,21,42,17,13,13,9,,,13,5,5,13,17
2023-05-25T01:32:30-05:00,17,25,17,17,,17,21,38,17,9,13,9,,,13,5,5,13,9
2023-05-25T01:33:00-05:00,17,13,17,17,,17,21,34,17,13,13,5,,,13,5,5,13,9
2023-05-25T01:33:30-05:00,17,13,17,17,,17,17,34,17,9,13,5,,,13,5,0,13,9
2023-05-25T01:34:00-05:00,17,13,17,17,,13,21,34,17,9,13,5,,,13,5,5,13,9
2023-05-25T01:34:30-05:00,17,9,17,21,,17,17,34,21,9,13,5,,,13,5,5,13,9
2023-05-25T01:35:00-05:00,17,13,21,17,,17,17,34,17,9,13,5,,,13,5,5,13,9
2023-05-25T01:35:30-05:00,17,13,21,17,,17,17,30,21,9,9,5,,,13,5,0,17,9
2023-05-25T01:36:00-05:00,17,13,17,17,,13,17,34,17,9,13,5,,,13,5,9,13,9
2023-05-25T01:36:30-05:00,17,13,17,21,,17,17,34,17,9,13,5,,,13,5,5,13,9
2023-05-25T01:37:00-05:00,17,13,17,17,,17,21,34,17,9,13,5,,,13,5,5,13,5
2023-05-25T01:37:30-05:00,17,13,21,21,,17,17,34,21,13,13,5,,,13,5,9,13,9
2023-05-25T01:38:00-05:00,17,17,21,17,,13,21,34,21,13,13,5,,,13,5,,9,9
2023-05-25T01:38:30-05:00,17,17,17,21,,17,17,34,17,13,13,5,,,13,5,9,13,9
2023-05-25T01:39:00-05:00,17,21,17,21,,13,17,30,21,13,13,9,,,13,5,9,9,9
2023-05-25T01:39:30-05:00,17,21,17,21,,13,17,34,21,13,13,9,,,13,5,9,13,13
2023-05-25T01:40:00-05:00,17,21,17,17,,17,17,34,25,9,13,9,,,17,5,5,13,13
2023-05-25T01:40:30-05:00,17,21,17,17,,13,17,30,21,13,13,5,,,13,5,9,13,9
2023-05-25T01:41:00-05:00,17,17,17,17,,13,17,25,25,13,13,5,,,17,5,5,13,9
2023-05-25T01:41:30-05:00,17,21,17,17,,13,17,30,25,13,13,9,,,17,5,9,17,9
2023-05-25T01:42:00-05:00,17,21,17,17,,17,17,25,25,13,17,5,,,13,5,9,17,9
2023-05-25T01:42:30-05:00,17,21,21,17,,13,17,25,21,13,13,5,,,13,5,5,13,9
2023-05-25T01:43:00-05:00,17,21,17,21,,17,17,25,21,13,13,5,,,13,5,5,17,9
2023-05-25T01:43:30-05:00,17,21,17,21,,13,17,25,25,13,13,5,,,13,9,9,21,9
2023-05-25T01:44:00-05:00,17,21,17,21,,17,17,30,21,13,13,5,,,13,5,9,17,9
2023-05-25T01:44:30-05:00,17,17,21,17,,13,21,30,25,9,17,9,,,13,5,5,17,9
2023-05-25T01:45:00-05:00,17,21,17,17,,13,21,25,25,9,13,5,,,17,5,0,21,13
2023-05-25T01:45:30-05:00,17,17,21,17,,21,21,25,25,13,13,5,,,17,5,5,17,9
2023-05-25T01:46:00-05:00,17,21,21,17,,21,21,25,21,13,17,5,,,13,5,5,13,9
2023-05-25T01:46:30-05:00,17,21,17,21,,21,21,30,21,13,13,5,,,13,5,5,13,9
2023-05-25T01:47:00-05:00,17,21,17,17,,25,21,25,25,9,13,9,,,13,5,9,17,9
2023-05-25T01:47:30-05:00,17,21,21,21,,30,21,21,25,9,13,5,,,13,5,9,17,13
2023-05-25T01:48:00-05:00,17,21,21,21,,34,25,25,21,13,17,9,,,13,5,9,17,13
2023-05-25T01:48:30-05:00,17,21,21,17,,30,17,25,25,13,13,5,,,13,5,9,13,13
2023-05-25T01:49:00-05:00,17,21,17,17,,30,25,25,25,13,17,9,,,13,5,0,17,13
2023-05-25T01:49:30-05:00,17,21,17,21,,34,21,30,34,9,17,5,,,13,5,5,17,13
2023-05-25T01:50:00-05:00,17,21,17,17,,38,21,25,25,9,13,9,,,17,5,5,17,13
2023-05-25T01:50:30-05:00,17,25,17,17,,38,21,25,25,9,13,9,,,13,5,5,17,9
2023-05-25T01:51:00-05:00,17,21,21,17,,34,17,21,25,13,17,9,,,13,9,5,17,13
2023-05-25T01:51:30-05:00,17,21,21,21,,34,17,25,25,13,13,9,,,13,9,9,13,13
2023-05-25T01:52:00-05:00,17,21,21,17,,34,,21,25,13,13,9,,,13,9,9,13,13
2023-05-25T01:52:30-05:00,17,21,21,21,,30,17,21,21,9,13,5,,,13,9,9,17,13
2023-05-25T01:53:00-05:00,17,21,21,17,,30,17,21,21,13,17,9,,,13,5,5,17,13
2023-05-25T01:53:30-05:00,17,21,17,21,,30,17,21,21,13,13,5,,,13,9,5,17,13
2023-05-25T01:54:00-05:00,17,21,17,17,,25,17,21,21,9,13,5,,,13,5,5,17,13
2023-05-25T01:54:30-05:00,17,21,17,17,,25,17,21,17,13,13,5,,,17,5,13,17,13
2023-05-25T01:55:00-05:00,17,21,17,21,,30,21,17,17,13,13,5,,,13,5,5,13,
2023-05-25T01:55:30-05:00,17,25,21,17,,21,21,21,21,9,13,5,,,17,9,9,17,
2023-05-25T01:56:00-05:00,17,21,21,17,,25,21,17,21,9,13,9,,,13,9,9,17,
2023-05-25T01:56:30-05:00,17,21,17,21,,25,17,17,21,13,13,9,,,13,9,13,13,
2023-05-25T01:57:00-05:00,17,21,17,17,,21,21,17,21,9,13,5,,,13,9,9,17,
2023-05-25T01:57:30-05:00,17,21,21,17,,25,21,17,21,13,17,9,,,13,9,5,17,
2023-05-25T01:58:00-05:00,17,21,21,17,,25,21,17,21,9,13,9,,,13,9,5,17,13
2023-05-25T01:58:30-05:00,17,21,17,17,,25,21,21,25,13,13,9,,,13,9,5,17,13
2023-05-25T01:59:00-05:00,17,21,17,17,,25,17,17,21,13,13,9,,,13,9,5,13,13
2023-05-25T01:59:30-05:00,17,21,17,21,,25,17,17,17,13,13,9,,,13,5,5,13,13
2023-05-25T02:00:00-05:00,17,25,21,21,,25,17,,17,13,13,9,,,13,5,0,17,13
